year,region,latitude,longitude,temperature,rainfall,humidity,wind_speed,co2_index,climate_risk_score
2000,South America,-46.4869,-56.4546,21.14,1171.84,49.04,14.87,370.09,5.959
2000,South America,-18.7774,-51.0408,15.9,974.58,50.07,17.41,368.41,5.553
2000,South America,-53.3015,-35.7555,26.02,1246.3,42.0,12.66,369.05,6.494
2000,South America,-18.2018,-47.414,18.96,1267.14,91.83,18.13,366.96,5.842
2000,South America,-31.1498,-45.3812,25.78,1209.85,46.1,13.76,363.52,6.202
2000,South America,-43.3955,-60.609,30.53,327.94,53.4,14.52,372.88,6.743
2000,South America,-21.2899,-40.745,20.07,1084.84,62.99,11.6,370.14,5.931
2000,South America,7.9954,-53.9527,30.34,404.87,92.0,6.19,369.7,7.656
2000,South America,9.3998,-38.4485,25.12,650.92,56.88,12.03,368.82,7.093
2000,South America,-47.083,-48.2534,27.6,1022.92,72.19,16.52,368.34,6.561
2000,Europe,62.0221,30.3417,-4.08,946.93,79.16,11.63,371.09,3.465
2000,Europe,65.9029,11.4497,-0.7,1225.4,79.58,14.08,371.36,3.929
2000,Europe,49.0113,-9.4581,15.3,847.94,61.45,16.38,368.36,6.58
2000,Europe,45.5556,6.4332,18.63,1216.67,69.36,16.51,369.98,5.604
2000,Europe,37.0721,17.4764,17.9,841.18,47.62,12.71,370.83,5.55
2000,Europe,57.2559,-4.9439,14.98,697.22,52.93,14.93,367.1,4.874
2000,Europe,64.2608,37.3624,-6.87,814.62,64.66,19.9,371.72,3.229
2000,Europe,39.0031,14.6313,13.93,784.54,64.84,10.69,371.04,6.226
2000,Europe,69.6382,8.7435,-1.24,739.51,63.36,14.05,370.2,3.531
2000,Europe,69.8949,16.1549,1.8,1283.71,92.3,10.93,371.74,4.473
2000,Europe,36.6361,4.0482,22.76,576.68,47.4,11.6,365.75,6.173
2000,Europe,56.0116,-6.1133,15.37,1650.47,74.26,11.69,368.2,6.204
2000,Europe,67.7934,31.1269,-9.28,1632.58,77.69,12.12,366.57,4.072
2000,Europe,69.9169,32.1059,-4.46,1395.13,36.08,11.6,370.01,3.809
2000,Europe,62.6835,37.2383,-5.8,1149.14,43.99,13.43,370.24,3.759
2000,Europe,43.2311,23.585,7.86,1411.07,64.98,11.01,373.1,5.153
2000,Europe,53.7259,32.6091,22.24,1602.14,56.27,17.89,371.29,7.354
2000,Europe,60.3469,0.6482,0.23,196.5,42.25,5.84,369.46,4.746
2000,Europe,53.5036,29.1827,20.51,347.96,34.45,13.78,370.77,6.38
2000,Europe,52.7343,6.4376,8.78,1167.87,65.5,10.24,368.97,4.47
2000,Africa,29.5688,13.6513,10.06,1101.62,52.05,10.83,369.79,4.582
2000,Africa,-20.144,5.8632,31.86,914.11,49.5,14.86,369.78,7.119
2000,Africa,23.0465,33.1264,11.88,669.67,55.87,4.79,366.97,5.958
2000,Africa,-1.6975,33.0704,26.31,1024.5,100.0,18.48,369.74,6.247
2000,Africa,3.3484,-2.7846,20.97,331.1,50.3,9.67,373.37,6.922
2000,Africa,21.8203,15.3894,14.31,555.49,82.85,16.16,367.93,5.508
2000,Africa,-14.5681,5.7788,27.7,1663.77,39.02,16.25,368.7,6.997
2000,Africa,-21.5672,0.2418,24.19,567.62,64.06,13.8,369.52,6.176
2000,Africa,34.8019,41.451,11.69,1202.16,67.51,10.09,370.2,5.708
2000,Africa,6.1561,-0.1215,21.35,1128.24,48.55,6.78,366.74,6.269
2000,Africa,-26.7317,23.354,26.55,235.39,59.01,9.16,368.7,7.087
2000,Africa,-10.7645,-10.4566,28.03,669.24,72.54,9.48,371.06,7.7
2000,Africa,-1.0465,9.2407,26.31,818.78,65.57,11.58,370.17,6.625
2000,Africa,6.3621,39.7698,25.35,735.25,52.69,12.27,370.79,6.451
2000,Africa,12.8942,17.1376,27.48,769.59,78.02,12.37,365.92,6.304
2000,Africa,-1.6871,1.3978,24.07,1570.57,64.9,13.12,371.66,5.737
2000,Africa,30.266,24.3209,8.09,1357.5,65.08,12.34,371.27,6.202
2000,Africa,29.3603,35.9904,12.16,560.06,72.46,10.58,370.14,5.164
2000,Africa,19.897,42.2504,18.15,695.99,55.95,10.08,369.11,6.115
2000,Africa,-18.4939,31.2799,27.48,1442.26,66.2,21.51,368.45,6.46
2000,Asia,17.7118,167.1831,6.89,1498.42,69.82,13.78,370.56,4.457
2000,Asia,40.4122,125.6036,14.44,1190.31,67.22,14.9,368.42,5.825
2000,Asia,45.3402,124.9401,20.37,695.51,45.16,13.5,370.11,6.713
2000,Asia,46.3893,95.8604,13.37,729.25,44.82,7.38,371.65,5.478
2000,Asia,29.2442,88.5734,12.66,1567.61,56.11,7.99,369.51,5.507
2000,Asia,39.8857,98.6496,13.08,1178.48,87.73,18.51,369.46,4.9
2000,Asia,10.9745,179.5624,34.29,923.69,60.21,13.9,370.4,7.42
2000,Asia,19.3598,66.6963,13.87,682.63,49.31,14.43,369.49,6.25
2000,Asia,41.7073,101.7068,18.98,70.64,54.86,12.51,367.18,5.978
2000,Asia,50.08,97.2228,17.74,1408.62,70.83,9.48,368.95,6.31
2000,Asia,50.6922,73.3456,13.04,750.07,70.66,15.78,369.28,5.95
2000,Asia,51.766,68.6978,16.37,776.18,64.89,9.0,371.85,5.632
2000,Asia,62.221,87.8544,-6.82,336.62,36.65,16.42,367.44,4.434
2000,Asia,43.6433,101.0577,14.84,861.31,51.83,15.6,369.92,6.048
2000,Asia,67.6187,151.9797,-5.45,877.22,64.62,7.16,367.3,3.742
2000,Asia,14.7549,156.8902,24.07,1039.03,51.9,10.89,370.39,6.021
2000,Asia,24.1839,117.5849,18.12,1089.04,63.84,17.93,373.33,6.466
2000,Asia,17.276,168.0177,6.64,388.17,50.63,14.1,371.04,4.585
2000,Asia,10.7959,124.4413,21.55,337.34,46.15,8.59,368.05,7.007
2000,Asia,44.6483,106.6471,15.97,973.93,47.12,16.8,368.85,5.683
2000,Australia,-27.6272,136.8579,28.6,618.73,59.48,21.08,368.75,7.95
2000,Australia,-36.3759,146.8596,26.53,1289.02,69.33,7.72,368.55,6.77
2000,Australia,-12.894,116.1568,23.7,1148.27,62.67,8.66,370.76,6.847
2000,Australia,-16.7704,139.6453,27.34,1083.67,58.95,7.36,370.86,6.982
2000,Australia,-38.6799,135.5575,19.68,1321.26,59.41,16.73,370.06,6.239
2000,Australia,-33.8315,147.3012,24.38,715.09,53.48,12.76,370.44,6.331
2000,Australia,-33.1044,142.6145,23.25,724.11,81.7,14.79,372.06,5.723
2000,Australia,-13.9908,137.7138,24.33,1326.19,52.24,19.64,374.6,6.572
2000,Australia,-14.4213,154.2838,22.22,1481.35,83.69,11.91,369.16,6.431
2000,Australia,-32.5882,122.9258,19.98,592.88,59.48,14.94,373.1,5.72
2000,Australia,-37.3611,152.7483,27.94,814.4,59.26,16.7,367.75,7.039
2000,Australia,-10.3091,120.4252,24.67,1096.98,64.34,23.82,368.72,6.323
2000,Australia,-37.283,118.3897,21.45,1375.61,81.31,11.72,368.34,6.656
2000,Australia,-16.4458,120.0998,24.81,293.7,83.21,21.18,368.77,6.656
2000,Australia,-13.8938,153.0043,25.14,1033.78,69.88,22.04,369.65,6.21
2000,Australia,-31.9559,121.6889,23.87,1617.82,52.24,14.9,369.97,7.426
2000,Australia,-28.1795,136.6584,22.04,1317.66,70.23,21.39,371.17,6.297
2000,Australia,-17.0901,139.6303,27.28,1102.91,76.0,18.68,372.76,7.228
2000,Australia,-39.4488,149.6392,23.33,958.69,78.1,10.73,370.74,6.193
2000,Australia,-15.8753,132.836,24.76,918.57,39.6,16.99,371.29,7.6
2000,Arctic,78.4775,-141.487,-3.0,1530.98,58.57,15.12,371.22,4.123
2000,Arctic,67.6402,157.4023,-5.79,977.64,76.1,9.89,370.27,3.051
2000,Arctic,71.5341,43.5296,-6.24,1050.88,83.48,13.74,368.89,4.325
2000,Arctic,70.378,178.9648,-9.79,20.48,66.6,11.99,367.96,3.8
2000,Arctic,67.3181,64.9797,-9.12,1248.98,69.75,13.6,373.69,2.722
2000,Arctic,72.3615,-81.2825,-4.18,997.34,56.38,15.41,367.5,4.27
2000,Arctic,79.8297,-9.6444,-2.63,1082.7,68.55,15.79,371.29,4.464
2000,Arctic,68.0999,-168.2906,-3.21,1183.6,58.65,19.76,368.65,4.672
2000,Arctic,69.2084,-3.026,-3.49,627.58,72.61,11.39,369.11,2.797
2000,Arctic,66.1859,-153.9191,-5.81,0.0,36.24,17.04,371.57,4.119
2000,Arctic,78.4776,-165.7372,-7.87,880.92,59.95,9.37,373.01,3.62
2000,Arctic,74.9544,-176.4825,-3.17,83.31,56.29,11.27,368.0,3.949
2000,Arctic,75.0807,68.2074,-6.28,1129.03,80.99,17.7,370.12,3.115
2000,Arctic,77.345,133.5489,-0.42,1154.07,75.74,11.86,372.63,4.183
2000,Arctic,73.2371,51.688,2.94,979.16,50.23,12.06,369.36,4.502
2000,Arctic,81.6138,-58.7175,-1.91,670.52,59.63,22.57,373.46,4.143
2000,Arctic,69.6553,178.6802,-3.85,948.01,69.2,9.91,369.49,2.74
2000,Arctic,79.8924,81.7809,-5.93,1529.59,41.61,8.14,370.45,4.243
2000,Arctic,73.0178,81.0928,0.31,884.6,57.41,17.53,371.3,3.214
2000,Arctic,80.5978,-104.1616,1.91,1452.04,50.62,15.58,370.99,4.615
2001,North America,33.0857,-139.9699,14.0,1371.59,68.15,12.52,373.84,4.286
2001,North America,41.1655,-98.0318,12.65,454.63,40.58,18.64,371.36,5.703
2001,North America,68.6419,-114.4528,-3.59,389.3,74.94,12.02,369.18,3.661
2001,North America,52.7715,-84.6003,12.71,762.8,55.18,22.31,373.06,5.584
2001,North America,51.3409,-65.544,13.07,823.96,58.93,13.85,373.75,5.402
2001,North America,26.7705,-153.591,17.03,870.21,61.18,6.01,374.12,5.934
2001,North America,45.4633,-107.1597,22.46,846.66,76.62,9.84,373.52,5.799
2001,North America,68.646,-156.9197,-6.39,1668.11,57.14,14.87,374.03,4.041
2001,North America,67.5076,-87.3767,5.72,879.45,63.02,18.2,374.5,5.189
2001,North America,34.7054,-90.2515,20.64,443.96,64.54,10.98,372.16,6.531
2001,North America,64.1839,-75.6785,2.56,1083.91,56.34,17.86,374.67,3.756
2001,North America,61.3531,-78.0504,-5.09,1452.78,57.75,14.5,371.95,3.784
2001,North America,39.6064,-124.7575,20.48,563.72,45.13,5.39,371.01,5.604
2001,North America,35.2271,-159.3629,20.67,1306.43,49.68,23.01,374.26,6.2
2001,North America,48.3587,-111.4565,8.55,244.34,75.34,23.76,375.06,5.555
2001,North America,61.5844,-83.2615,-0.86,1014.98,61.56,13.75,370.78,3.795
2001,North America,46.8642,-137.7004,10.15,461.06,62.7,19.57,374.13,4.513
2001,North America,57.2268,-135.8304,10.17,812.65,68.25,10.13,372.5,4.405
2001,North America,56.9071,-155.3885,7.73,1078.69,59.71,16.21,372.74,5.56
2001,North America,26.9536,-93.2881,14.59,1119.82,60.73,14.16,370.89,5.258
2001,South America,-14.0643,-61.6817,19.13,625.34,49.22,17.58,371.7,6.721
2001,South America,-10.2742,-76.5098,20.76,1760.56,42.19,15.24,373.56,6.843
2001,South America,-40.4784,-76.5014,24.28,843.7,74.46,22.84,371.18,5.805
2001,South America,-15.1701,-57.652,20.89,1558.15,85.17,11.79,373.43,7.341
2001,South America,-36.6312,-77.2673,21.78,496.6,50.26,9.1,372.36,6.069
2001,South America,-50.47,-43.3832,25.04,280.14,64.96,17.33,368.3,7.063
2001,South America,-32.6889,-49.5341,30.79,1070.11,49.42,13.78,373.41,7.291
2001,South America,-43.2547,-48.5698,24.78,337.01,58.33,10.38,370.82,7.46
2001,South America,-10.4509,-43.6139,19.73,775.94,78.2,14.57,376.93,6.322
2001,South America,-49.0287,-45.5023,24.64,841.51,70.62,17.83,370.72,5.858
2001,South America,-49.1279,-36.963,16.76,1105.7,43.45,5.39,373.07,7.073
2001,South America,6.5993,-57.6427,24.43,862.94,73.79,12.84,372.83,6.673
2001,South America,-2.068,-66.6801,23.4,600.2,68.05,10.41,372.35,6.554
2001,South America,-12.0549,-42.3434,24.0,1229.61,80.85,16.23,372.31,5.982
2001,South America,-28.2896,-74.1204,21.67,827.71,60.85,16.12,372.15,6.485
2001,South America,-34.1083,-57.2113,20.35,844.86,41.85,16.4,375.35,6.739
2001,South America,-44.8143,-78.1166,23.25,1498.79,62.23,12.65,371.06,6.558
2001,South America,-8.6252,-78.0723,24.75,903.72,66.55,18.76,374.19,5.797
2001,South America,-19.6882,-60.9741,18.64,812.59,42.45,6.79,373.37,6.332
2001,South America,-3.4566,-80.4815,21.8,0.0,51.81,15.57,369.33,6.813
2001,Europe,35.4363,2.0601,14.04,1134.22,61.79,10.11,374.68,5.502
2001,Europe,38.531,14.4121,12.33,548.58,57.41,20.85,369.55,4.614
2001,Europe,51.5401,29.2508,11.43,1318.46,50.92,21.3,373.65,5.168
2001,Europe,36.3833,35.0881,22.73,660.21,71.13,15.2,374.9,7.262
2001,Europe,37.3995,15.9204,15.94,631.41,90.2,14.55,371.56,5.857
2001,Europe,37.5652,-9.3946,8.72,513.85,78.01,11.37,370.2,5.345
2001,Europe,41.2679,-5.0802,18.85,1190.08,74.94,10.97,369.45,6.804
2001,Europe,42.4047,-3.9307,19.42,1124.99,66.84,22.66,371.0,6.553
2001,Europe,70.2789,20.0941,2.22,1105.63,68.07,18.29,371.56,3.895
2001,Europe,68.411,1.2308,-8.08,115.96,90.84,9.59,371.85,3.468
2001,Europe,66.9293,22.2905,-0.45,669.27,57.49,15.13,371.79,4.861
2001,Europe,65.3119,26.4245,-1.24,1371.89,62.72,8.81,373.09,3.809
2001,Europe,64.4403,0.6756,1.06,911.01,64.63,20.81,372.77,5.392
2001,Europe,45.7117,18.2511,17.12,1054.96,79.35,16.69,372.01,5.21
2001,Europe,35.3359,2.3339,13.27,562.29,51.29,16.35,375.63,5.771
2001,Europe,57.1755,-0.5988,18.89,658.59,57.99,14.06,370.72,6.366
2001,Europe,69.4906,8.397,-7.45,727.52,70.84,12.51,375.75,3.146
2001,Europe,66.903,19.6522,-9.57,198.18,37.12,19.05,371.19,4.675
2001,Europe,58.1237,-6.7573,20.27,1704.94,90.92,18.83,374.34,6.857
2001,Europe,44.7135,31.2525,10.83,901.15,57.45,12.19,373.68,5.578
2001,Africa,21.7803,16.7261,9.54,825.04,49.25,6.53,372.13,4.934
2001,Africa,8.0722,32.2321,20.01,1644.14,78.32,16.33,371.84,5.991
2001,Africa,25.4658,7.2521,21.64,1519.8,52.67,9.52,372.57,5.688
2001,Africa,-13.4918,46.7882,22.24,264.62,67.7,11.87,369.95,5.179
2001,Africa,-25.3894,-14.2773,23.99,1611.4,84.92,12.17,371.09,7.087
2001,Africa,8.9362,-10.3899,27.17,1393.27,58.5,13.19,370.54,6.629
2001,Africa,30.2503,-2.2822,17.76,581.23,82.39,12.92,372.25,5.615
2001,Africa,-32.5798,-15.5516,14.41,1256.12,71.05,12.87,372.43,5.926
2001,Africa,32.4512,-16.2897,7.85,690.88,71.91,8.98,372.88,4.232
2001,Africa,-1.5969,49.0124,17.64,1368.4,48.98,10.76,372.69,6.646
2001,Africa,2.6841,-11.8514,25.82,1179.74,62.65,12.53,370.64,6.82
2001,Africa,-2.0024,14.4134,25.85,1264.07,24.56,9.96,373.53,7.89
2001,Africa,-30.5163,16.3877,23.37,1452.45,50.31,10.8,371.33,6.22
2001,Africa,19.4861,16.8764,15.4,801.56,55.62,7.75,374.06,5.594
2001,Africa,3.7865,15.3447,25.3,601.78,53.6,18.59,372.52,6.036
2001,Africa,-14.3261,36.2927,31.6,1334.52,53.29,19.12,372.43,7.91
2001,Africa,-23.6273,29.4088,21.53,1314.48,54.98,12.39,370.38,6.626
2001,Africa,-3.2967,23.6862,24.2,1467.39,58.81,15.81,370.17,6.992
2001,Africa,28.4988,10.3518,18.85,1938.33,68.69,15.3,372.68,6.361
2001,Africa,-21.5063,40.9306,24.78,1429.54,44.9,18.56,374.93,6.806
2001,Asia,37.1486,90.0918,19.29,893.35,45.01,11.98,373.97,6.251
2001,Asia,12.0446,73.5824,22.54,533.54,84.23,12.71,374.73,7.296
2001,Asia,29.6662,157.8027,15.72,892.82,46.44,15.3,369.93,6.161
2001,Asia,53.0429,49.7498,15.24,798.94,68.8,12.1,374.03,4.945
2001,Asia,53.5905,111.7717,10.1,631.4,67.71,14.72,372.99,5.423
2001,Asia,60.1913,133.0979,-2.26,806.0,70.09,21.6,372.03,3.305
2001,Asia,37.2251,161.0389,5.41,1241.47,51.97,13.64,372.96,4.835
2001,Asia,24.6026,160.1678,16.16,798.68,71.08,16.46,370.42,6.217
2001,Asia,63.0576,79.413,-2.43,1637.77,56.65,12.6,372.25,4.012
2001,Asia,26.0886,123.77,9.89,475.38,74.25,20.84,372.08,5.156
2001,Asia,60.6205,44.8538,-3.62,1367.25,46.09,14.95,374.24,4.151
2001,Asia,66.5285,120.0481,-14.71,1173.65,50.19,6.68,373.31,3.32
2001,Asia,67.4766,102.0732,2.55,1428.47,84.6,16.97,372.44,3.751
2001,Asia,12.2957,93.8316,32.79,832.15,61.85,16.21,372.38,8.233
2001,Asia,49.3873,49.9305,11.13,374.49,50.82,13.85,371.43,5.076
2001,Asia,73.0073,86.3886,-9.52,869.26,37.43,17.04,372.46,2.283
2001,Asia,5.3854,41.073,22.87,601.64,64.79,19.36,368.54,6.52
2001,Asia,70.2228,95.5821,-3.04,601.71,55.21,10.82,374.44,3.871
2001,Asia,39.5483,138.3162,11.27,297.01,32.95,7.66,372.83,5.752
2001,Asia,47.5534,83.3122,12.17,961.22,84.18,17.59,371.75,4.808
2001,Australia,-29.0317,126.6074,23.26,507.63,58.03,14.31,371.84,6.269
2001,Australia,-12.0396,140.0858,19.74,1466.87,58.52,14.08,373.71,6.474
2001,Australia,-23.5599,149.3164,21.65,1047.1,42.84,14.43,372.23,6.182
2001,Australia,-34.6736,131.87,21.91,939.64,62.4,9.89,374.82,5.842
2001,Australia,-22.1698,148.0522,21.52,1612.62,42.1,17.68,374.29,6.298
2001,Australia,-29.3753,145.9271,25.26,1006.63,57.99,17.24,373.88,5.776
2001,Australia,-32.009,137.0483,28.23,1353.18,43.64,12.36,370.08,7.016
2001,Australia,-13.8466,125.5645,29.35,1460.77,51.57,13.16,368.92,6.887
2001,Australia,-21.3008,137.2601,19.17,665.51,59.6,15.12,370.67,6.278
2001,Australia,-28.0044,111.2392,26.29,905.07,53.45,13.56,372.11,6.491
2001,Australia,-39.3991,111.0508,23.07,1541.96,68.41,12.82,373.69,6.577
2001,Australia,-23.897,147.2018,23.67,1081.59,36.44,9.49,369.9,6.561
2001,Australia,-25.6201,134.3767,26.66,1102.84,32.98,11.83,370.72,6.507
2001,Australia,-42.9823,125.4102,16.19,1201.66,43.91,14.96,376.44,5.402
2001,Australia,-27.8886,128.08,28.51,1685.84,41.56,15.99,371.36,7.312
2001,Australia,-28.3559,134.4361,25.12,1089.58,76.29,14.39,372.91,6.479
2001,Australia,-40.6313,145.7395,26.59,754.66,65.66,13.88,374.54,6.792
2001,Australia,-24.3944,126.8898,20.48,640.99,51.07,19.5,368.02,7.756
2001,Australia,-24.7952,148.951,23.88,1016.72,67.82,16.58,373.4,6.554
2001,Australia,-37.9834,114.9169,23.32,1356.01,68.9,2.24,373.6,6.755
2001,Arctic,66.3059,-8.3364,0.6,1281.51,48.41,15.63,370.35,3.551
2001,Arctic,78.871,-79.6464,-0.08,1107.73,70.88,16.06,371.01,4.289
2001,Arctic,78.0548,96.8122,0.86,1185.82,65.27,18.28,372.24,3.79
2001,Arctic,67.2424,-33.2845,-6.6,844.69,48.11,12.77,368.5,3.392
2001,Arctic,67.2298,0.2247,-1.26,1277.53,35.89,10.95,370.75,3.582
2001,Arctic,78.8557,154.5221,-0.58,824.97,56.03,5.98,373.56,3.351
2001,Arctic,81.6637,37.2575,1.55,378.97,14.71,14.74,375.89,5.101
2001,Arctic,67.1484,65.7422,-0.67,513.08,67.15,16.02,374.41,5.537
2001,Arctic,68.286,99.1246,-4.0,194.87,49.58,12.36,371.24,4.048
2001,Arctic,77.9783,-65.6688,-3.9,898.78,55.08,14.62,373.94,3.155
2001,Arctic,71.0603,-143.3187,-9.28,574.8,52.86,17.5,372.82,3.314
2001,Arctic,72.9411,147.5795,-2.33,861.21,63.98,11.67,367.41,3.635
2001,Arctic,76.1234,73.3886,-0.03,1396.95,61.33,14.79,371.06,4.095
2001,Arctic,78.5092,51.8937,-4.45,722.42,60.01,16.4,369.4,2.441
2001,Arctic,69.3421,-47.2654,-5.93,843.39,53.2,19.81,372.95,3.553
2001,Arctic,69.3919,56.6473,0.26,872.19,70.06,9.71,369.18,4.39
2001,Arctic,68.1856,54.5903,-7.37,1352.67,42.16,20.57,370.49,3.784
2001,Arctic,80.2434,-76.5325,-6.07,837.38,60.61,9.99,373.77,3.143
2001,Arctic,66.2351,-43.5261,-4.81,504.76,21.56,13.24,377.12,4.157
2001,Arctic,66.1588,-12.9257,-3.81,1121.35,42.29,18.46,373.72,4.087
2002,North America,48.4583,-52.8304,16.9,1141.73,54.69,11.71,374.79,6.656
2002,North America,40.6643,-124.1348,14.87,925.36,62.6,14.98,374.14,6.28
2002,North America,42.9102,-132.2559,13.8,247.72,57.36,20.65,374.63,5.922
2002,North America,68.3246,-159.0786,-8.83,658.46,54.37,12.73,377.15,3.538
2002,North America,51.0234,-150.6584,16.2,1361.06,83.71,9.94,372.96,5.293
2002,North America,66.2869,-133.7205,0.16,874.62,55.2,14.61,372.91,5.054
2002,North America,31.0424,-54.9638,7.78,978.9,90.35,14.03,374.2,4.66
2002,North America,61.3134,-113.7595,-12.64,1518.37,38.64,12.93,373.72,3.352
2002,North America,68.2282,-144.7628,-10.18,1089.87,90.36,8.55,374.96,2.735
2002,North America,69.153,-145.5673,-2.09,912.66,50.38,15.95,378.19,3.731
2002,North America,36.1303,-92.4074,10.38,1093.96,82.26,15.42,373.96,5.173
2002,North America,25.4067,-125.8705,9.21,1146.81,73.23,12.19,373.64,5.214
2002,North America,44.2916,-164.558,22.61,806.19,54.62,11.41,376.07,6.302
2002,North America,69.6965,-162.7005,-6.39,1433.52,81.29,11.6,370.85,4.122
2002,North America,60.4397,-138.3818,-11.67,1262.04,41.83,16.92,374.61,2.536
2002,North America,34.9384,-163.4063,12.58,1179.53,61.59,16.34,378.54,4.717
2002,North America,48.2514,-78.4644,10.61,372.87,57.16,17.69,374.33,6.156
2002,North America,47.3893,-143.8477,9.2,1050.45,73.3,12.32,369.37,5.076
2002,North America,61.4895,-69.3725,1.15,476.58,70.2,18.77,371.03,4.49
2002,North America,44.1353,-163.5666,15.6,710.11,49.86,14.14,372.41,5.148
2002,South America,-39.5621,-80.9307,26.93,445.48,69.99,15.85,371.13,6.662
2002,South America,-33.2052,-47.5068,22.35,1089.82,71.75,12.99,373.39,7.107
2002,South America,-15.4273,-49.9323,24.55,581.69,47.54,16.09,375.42,7.421
2002,South America,8.7989,-79.0062,26.81,303.77,75.78,10.01,373.82,7.228
2002,South America,-20.5718,-57.0821,26.64,831.72,68.02,17.55,373.94,7.667
2002,South America,6.7066,-48.354,26.87,1073.63,72.58,11.53,373.47,6.302
2002,South America,-32.5141,-35.0093,25.97,1216.57,66.87,20.7,374.57,7.191
2002,South America,-29.5053,-73.3373,26.99,1244.64,55.59,13.71,371.55,6.768
2002,South America,-7.7736,-42.595,26.21,924.91,60.11,11.36,375.98,6.932
2002,South America,-42.9899,-43.3998,15.59,1343.86,52.82,10.55,375.97,5.685
2002,South America,-9.9289,-43.556,26.94,358.62,78.18,15.05,373.84,7.155
2002,South America,-18.2265,-67.4813,20.09,363.93,37.16,18.45,373.32,7.137
2002,South America,-50.4203,-44.1633,22.07,222.06,43.25,18.94,374.27,6.394
2002,South America,8.2781,-50.8385,28.68,1484.4,54.6,8.7,373.76,7.417
2002,South America,-36.3839,-68.013,25.58,885.54,60.49,10.97,374.12,6.169
2002,South America,-5.5617,-47.8859,16.82,533.2,37.55,11.4,374.42,5.219
2002,South America,-37.0082,-67.4893,25.04,932.74,49.17,14.71,373.49,6.443
2002,South America,-14.864,-51.6885,19.01,1236.89,72.17,9.41,376.22,6.939
2002,South America,-34.0352,-68.2585,28.28,1013.6,68.27,15.36,375.36,6.318
2002,South America,-8.0236,-49.0347,23.29,887.61,37.03,16.06,375.73,6.38
2002,Europe,49.3653,31.9901,16.47,497.13,59.65,13.3,375.03,5.751
2002,Europe,67.9238,11.701,-5.54,262.37,86.24,19.53,372.0,4.126
2002,Europe,60.7059,-5.4304,-2.61,811.24,48.24,11.24,372.75,3.344
2002,Europe,37.2509,12.947,16.94,1499.9,51.3,14.96,375.58,6.344
2002,Europe,68.5776,17.2127,-1.86,409.94,73.04,17.55,373.06,4.101
2002,Europe,48.3601,36.0383,18.5,1850.55,48.21,8.48,375.19,6.836
2002,Europe,63.3459,12.7173,-9.15,1182.17,50.91,20.88,378.57,2.883
2002,Europe,68.7061,-6.7997,-5.99,1248.84,54.19,13.82,374.63,2.629
2002,Europe,37.0223,14.5548,12.24,1482.45,41.15,17.25,374.03,5.458
2002,Europe,37.5377,-0.7177,17.37,1041.02,68.56,17.87,373.92,5.554
